tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy_current_month,infant_vacancy_next_month,infant_vacancy_third_month,infant_vacancy_fourth_month,infant_vacancy_fifth_month,infant_vacancy_sixth_month,infant_vacancy_seventh_month,pg_vacancy_current_month,pg_vacancy_next_month,pg_vacancy_third_month,pg_vacancy_fourth_month,pg_vacancy_fifth_month,pg_vacancy_sixth_month,pg_vacancy_seventh_month,n1_vacancy_current_month,n1_vacancy_next_month,n1_vacancy_third_month,n1_vacancy_fourth_month,n1_vacancy_fifth_month,n1_vacancy_sixth_month,n1_vacancy_seventh_month,n2_vacancy_current_month,n2_vacancy_next_month,n2_vacancy_third_month,n2_vacancy_fourth_month,n2_vacancy_fifth_month,n2_vacancy_sixth_month,n2_vacancy_seventh_month,k1_vacancy_current_month,k1_vacancy_next_month,k1_vacancy_third_month,k1_vacancy_fourth_month,k1_vacancy_fifth_month,k1_vacancy_sixth_month,k1_vacancy_seventh_month,k2_vacancy_current_month,k2_vacancy_next_month,k2_vacancy_third_month,k2_vacancy_fourth_month,k2_vacancy_fifth_month,k2_vacancy_sixth_month,k2_vacancy_seventh_month,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks,contactno_lifesg,emailaddress_lifesg,website_lifesg
na,PT9448,MAPLEBEAR LEARNING HOUSE PTE LTD,PT,Private Operators,CC,89497342,dawnloh@maplebearholdings.sg,"45,JALAN SONGKET,CHARLTON PARK,537416",537416,maplebear.sg/kovan,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,Yes,Yes,No,2026-06-30,na,89497342,dawnloh@maplebearholdings.sg,maplebear.sg/kovan
na,RC0590,HATCH by TOUCH Preschools @Clementi 333,RC,Not-for-Profit Organisation,CC,67773933,Stella.samathanam@touch.org.sg,"333,CLEMENTI AVENUE 2,#01-86,120333",120333,https://hatchpreschools.org/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-06-30,na,67773933,clementi@hatchpreschools.org,https://hatchpreschools.org/
na,PT8406,KIDDIWINKIE SCHOOLHOUSE @ UPPER BUKIT TIMAH,PT,Private Operators,CC,68171394,phebe.yong@kiddiwinkie.edu.sg,"10/12,LORONG PISANG BATU,HOOVER PARK,597925",597925,www.kiddiwinkie.edu.sg,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,09:00-13:00,na,No,No,Yes,Yes,2026-06-30,na,68171394,kwsh_ubt@babilou-family.sg,www.kiddiwinkie.edu.sg
na,PT9759,Carpe Diem Schoolhouse Pte Ltd,PT,Private Operators,CC,98593175,sk@carpediem.com.sg,"353,ANCHORVALE LANE,#02-02,540353",540353,www.carpediem.com.sg,Limited,Limited,Full,Limited,Limited,Limited,Available,Available,Available,Available,Available,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,Yes,07:00-19:00,07:00-14:00,Partner Operator Scheme,No,Yes,Yes,No,2026-06-30,na,65130370,sk@carpediem.com.sg,www.carpediem.com.sg
na,PT8922,SUNFLOWER PRESCHOOL @ BALESTIER PTE. LTD.,PT,Private Operators,CC,62562326,sunflowerpreschoolbalestier@gmail.com,"80,LORONG LIMAU,BALESTIER AREA OFFICE,320080",320080,www.sunflowerkid.com,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Full,Full,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Full,Full,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-06-30,na,62562326,sunflowerpreschoolbalestier@gmail.com,www.sunflowerkid.com
na,EB0022,E-Bridge Pre-School Pte Ltd,EB,E-Bridge Pre-school Pte. Ltd.,CC,69694298,422northshore@e-bridge.edu.sg,"422B,NORTHSHORE DRIVE,#01-735,822422",822422,https://info.e-bridge.edu.sg/registration-of-interest,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-30,na,69694298,422northshore@e-bridge.edu.sg,https://info.e-bridge.edu.sg/registration-of-interest
na,PT8386,CARPE DIEM CHILDCARE RESORT PTE. LTD.,PT,Private Operators,CC,63125317,pg@carpediem.com.sg,"413,NORTHSHORE DRIVE,#02-01,820413",820413,www.carpediem.com.sg,Available,Available,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,Yes,07:00-19:00,07:00-14:00,Partner Operator Scheme,No,Yes,Yes,Yes,2026-06-30,na,63125317,pg@carpediem.com.sg,www.carpediem.com.sg
na,PT9417,CARPE DIEM SCHOOLHOUSE PTE LTD,PT,Private Operators,CC,87170756,tpy@carpediem.com.sg,"131,LORONG 1 TOA PAYOH,#02-01,310131",310131,www.carpediem.com.sg,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Limited,Limited,Available,Available,Available,Available,Available,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-06-30,na,69257268,tpy@carpediem.com.sg,www.carpediem.com.sg
TP0136,PT9411,SUNFLOWER PRESCHOOL @ YISHUN PTE LTD,PT,Private Operators,CC,64811003,ys-jessietan@sunflowerkid.com,"513,YISHUN STREET 51,#01-07,SARACA BREEZE @ YISHUN,760513",760513,www.sunflowerkid.com,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,No,2026-06-30,na,64811003,ys-jessietan@sunflowerkid.com,www.sunflowerkid.com
na,ST0087,PCF SPARKLETOTS PRESCHOOL @ JURONG CENTRAL BLK 403 (CC),ST,PCF Sparkletots Preschool Limited,CC,65631573,JT.CC.403@pcf.org.sg,"403,JURONG WEST STREET 42,#01-559,640403",640403,www.pcf.org.sg/sparkletots/,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-30,na,65631573,JT.CC.403@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,PT9137,MLC (SEMBAWANG) PTE. LTD.,PT,Private Operators,CC,67552278,admin406@mylittlecampus.com.sg,"406,SEMBAWANG DRIVE,#01-828,750406",750406,https://www.mylittlecampus.com.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,Yes,2026-06-29,na,67552278,admin406@mylittlecampus.com.sg,https://www.mylittlecampus.com.sg/
na,PT8804,Kiddiwinkie Schoolhouse Pte Ltd,PT,Private Operators,CC,92319572,jeslyn.goh@kiddiwinkie.edu.sg,"3,HARBOURFRONT PLACE,#02-01,HARBOURFRONT TOWER TWO,099254",099254,www.kiddiwinkie.edu.sg,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:30,07:00-14:00,na,No,No,Yes,Yes,2026-06-29,na,92319572,jeslyn.goh@kiddiwinkie.edu.sg,www.kiddiwinkie.edu.sg
na,SK0022,Skool4Kidz Preschool,SK,Skool4Kidz Pte Ltd,CC,69312961,annawong@skool4kidz.com.sg,"606B,TAMPINES STREET 61,#01-404,TAMPINES GREENRIDGES,522606",522606,https://skool4kidz.com.sg/,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-29,na,69312961,annawong@skool4kidz.com.sg,https://skool4kidz.com.sg/
na,PT8994,MindChamps Performing Arts International PreSchool @ Marina Square,PT,Private Operators,CC,69559859,SG.PSMARINASQ.PRINCIPAL@MINDCHAMPS.ORG,"6,Raffles Boulevard Marina Square,#04-100,MARINA SQUARE,039594",039594,https://www.mindchamps.org/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Limited,Limited,Limited,Available,Available,Available,Full,Limited,Limited,Limited,Available,Available,Available,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,Yes,2026-06-29,na,69559859,SG.PSMARINASQ.PRINCIPAL@MINDCHAMPS.ORG,https://www.mindchamps.org/
na,PT8642,Tinkerland @ Yunnan,PT,Private Operators,CC,67953158,Jubedah_bintetijoh@sdmgroup.sg,"51,YUNNAN CRESCENT,638350",638350,www.sdmchildcare.sg,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,No,2026-06-29,na,67953158,Jubedah_bintetijoh@sdmgroup.sg,www.sdmchildcare.sg
na,PT9870,LUMIERE MONTESSORI HOUSE @ MACPHERSON,PT,Private Operators,CC,82082989,wendy@lumieremontessori.com,"37,JALAN BELANGKAS,NIL,369400",369400,www.lumieremontessori.com,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Available,Available,Full,Full,Full,Full,Full,Available,Available,Full,Full,Full,Full,Full,Available,Available,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-13:00,na,No,Yes,Yes,No,2026-06-28,na,82082989,wendy@lumieremontessori.com,www.lumieremontessori.com
na,NT0615,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,info@myfirstskool.com,"435B,NORTHSHORE DRIVE,#01-1531,PUNGGOL POINT CROWN,822435",822435,www.myfirstskool.com,Limited,Limited,Limited,Limited,Limited,Limited,Full,Available,Available,Available,Available,Available,Available,Limited,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Limited,Full,Full,Full,Full,Full,Full,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-28,na,66349989,cust_engagement@ntucfirstcampus.com,www.myfirstskool.com
na,RC1828,Edelweiss Preschool Sembawang Presbyterian Church,RC,Not-for-Profit Organisation,CC,97278002,edelweiss.kindergarten@gmail.com,"10B,JALAN JERUJU,SEMBAWANG PRESBYTERIAN CHURCH,768443",768443,https://www.edelweisspreschool.com/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Full,Full,Full,Available,Available,Available,Available,Available,Available,Full,Others,Chinese,No,07:00-19:00,na,na,No,Yes,Yes,No,2026-06-27,na,97278002,edelweiss.kindergarten@gmail.com,https://www.edelweisspreschool.com/
na,RC1917,New Life Preschool @ McNair,RC,Not-for-Profit Organisation,CC,62997510,mnrpreschool@newlife.org.sg,"7,MCNAIR ROAD,328516",328516,www.newlifepreschool.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,Yes,07:00-19:00,07:00-14:00,Partner Operator Scheme,No,No,Yes,Yes,2026-06-26,na,62997510,mnrpreschool@newlife.org.sg,www.newlifepreschool.sg
na,NT0543,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,info@myfirstskool.com,"208B,PUNGGOL PLACE,#01-924,822208",822208,https://www.myfirstskool.com/pc4-lifesg,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-26,na,66349989,cust_engagement@ntucfirstcampus.com,https://www.myfirstskool.com/pc4-lifesg
na,NT0597,My First Skool,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,info@myfirstskool.com,"222C,BEDOK NORTH DRIVE,#01-54,BEDOK BEACON,463222",463222,https://www.myfirstskool.com/bcc06-lifesg,Full,Full,Full,Full,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-26,na,66349989,cust_engagement@ntucfirstcampus.com,https://www.myfirstskool.com/bcc06-lifesg
na,PT8673,ZEE JUNIORS,PT,Private Operators,CC,64400070,LAWRENCEGOH68@YAHOO.COM.SG,"722,DUNMAN ROAD,439235",439235,https://aaytozee.com.sg/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,Yes,07:30-19:00,na,na,No,No,Yes,No,2026-06-25,na,64400070,LAWRENCEGOH68@YAHOO.COM.SG,https://aaytozee.com.sg/
na,RC1902,Little Seeds Preschool,RC,Not-for-Profit Organisation,CC,67602624,tsabp.cc@littleseeds.edu.sg,"402,FAJAR ROAD,#01-217,670402",670402,www.littleseeds.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-06-25,na,67602624,tsabp.cc@littleseeds.edu.sg,www.littleseeds.edu.sg
na,PT9913,Little Kinder Montessori @ Pasir Panjang Pte. Ltd.,PT,Private Operators,CC,91393676,principal@littlekindermontessori.com,"9,SOUTH BUONA VISTA ROAD,NIL,118141",118141,www.littlekindermontessori.com,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,na,Chinese,No,07:00-19:00,na,na,No,No,Yes,No,2026-06-24,na,91393676,principal@littlekindermontessori.com,www.littlekindermontessori.com
na,PT9447,Little Paddington Preschool Thomson Walk Pte. Ltd.,PT,Private Operators,CC,98537297,melissa.xavier@littlepaddington.com,"22,THOMSON WALK,HAPPY PARK,574469",574469,na,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,Available,Available,Available,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,No,2026-06-24,na,98537297,melissa.xavier@littlepaddington.com,na
na,ST0396,PCF Sparkletots Preschool @ Mountbatten Blk 92 (CC),ST,PCF Sparkletots Preschool Limited,CC,68023785,MB.CC.92@pcf.org.sg,"92,JALAN SATU,#01-11,DAKOTA BREEZE,390092",390092,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,No,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-24,na,68023785,MB.CC.92@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,PT9800,Alora Infant Care (Leng Kee) Pte Ltd,PT,Private Operators,CC,62503807,info@alora.com.sg,"400,LENGKOK BAHRU,#02-03,LENG KEE COMMUNITY CENTRE,159049",159049,na,Available,Available,Available,Available,Available,Available,Full,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,2026-06-24,na,62503807,info@alora.com.sg,www.kidscampus.com.sg
na,PT9696,KIDSCAMPUS (CHANGI SIMEI) PTE LTD,PT,Private Operators,CC,62261126,INFO@KIDSCAMPUS.SG,"10,SIMEI STREET 2,#04-01,529915",529915,na,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,2026-06-24,na,62261126,INFO@KIDSCAMPUS.SG,www.kidscampus.com.sg
na,PT9478,KIDSCAMPUS WEST COAST PTE LTD,PT,Private Operators,CC,67743869,INFO@KIDSCAMPUS.SG,"509,WEST COAST DRIVE,#01-283,WEST COAST VISTA,120509",120509,na,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,2026-06-24,na,67743869,INFO@KIDSCAMPUS.SG,www.kidscampus.com.sg
na,PT9451,KIDSCAMPUS JW PTE LTD,PT,Private Operators,CC,63968569,INFO@ALORA.COM.SG,"837,JURONG WEST STREET 81,#01-75,640837",640837,na,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,No,Yes,No,2026-06-24,na,63968569,INFO@ALORA.COM.SG,www.kidscampus.com.sg
na,PT9373,ALORA CHILDCARE (LENG KEE) PTE LTD,PT,Private Operators,CC,62503807,INFO@ALORA.COM.SG,"400,LENGKOK BAHRU,LENG KEE COMMUNITY CENTRE,159049",159049,www.alora.com.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,na,na,No,No,Yes,No,2026-06-24,na,62503807,INFO@ALORA.COM.SG,www.alora.com.sg
na,SK0025,Skool4Kidz Preschool,SK,Skool4Kidz Pte Ltd,CC,62802272,pgns@skool4kidz.com.sg,"409B,NORTHSHORE DRIVE,#02-258,NORTHSHORE RESIDENCES II,822409",822409,https://skool4kidz.com.sg/,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-23,na,62802272,pgns@skool4kidz.com.sg,https://skool4kidz.com.sg/
na,ST0389,PCF Sparkletots Preschool @ Potong Pasir Blk 101 (EY),ST,PCF Sparkletots Preschool Limited,EYC-DS,69729842,PS.EY.101@pcf.org.sg,"101,BIDADARI PARK DRIVE,#02-02,340101",340101,www.pcf.org.sg/sparkletots/,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-06-23,na,69729842,PS.EY.101@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,KM0055,MOE Kindergarten @ Tanjong Katong,KM,MOE Kindergarten,KN,65688277,mk_tanjongkatong@moe.edu.sg,"10,SERAYA ROAD,TANJONG KATONG PRIMARY SCHOOL,437259",437259,www.tanjongkatongpri.moe.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Others,Chinese|Malay|Tamil,No,07:00-19:00,na,na,No,No,Yes,Yes,2026-06-23,na,65688277,mk_tanjongkatong@moe.edu.sg,www.tanjongkatongpri.moe.edu.sg
na,PT9405,MAPLEBEAR EARLY ACHIEVERS PTE LTD,PT,Private Operators,CC,69283263,labrador@maplebear.sg,"100H,PASIR PANJANG ROAD,#02-01,OC@PASIR PANJANG,118524",118524,na,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,No,07:00-19:00,07:00-14:00,na,No,Yes,Yes,Yes,2026-06-23,na,69283263,director-labrador@maplebear.sg,na
